user_id,gender,age_group,region,subscription_type
U24913,Other,18-25,South,Free
U58715,Female,60+,North,Basic
U51128,Other,60+,East,Free
U50807,Female,46-60,Pan-India,Premium
U14888,Female,60+,South,Premium
U24669,Male,46-60,South,Free
U56983,Female,60+,West,Premium
U40152,Male,26-35,North,Premium
U39360,Male,46-60,Northeast,Premium
U18927,Other,26-35,Central,Basic
U18394,Male,46-60,Central,Free
U25528,Male,26-35,Northeast,Basic
U18748,Male,46-60,West,Free
U56111,Other,36-45,South,Premium
U46264,Male,26-35,North,Free
U36700,Female,60+,South,Basic
U32663,Other,<18,South,Free
U14655,Female,26-35,North,Basic
U33499,Male,60+,West,Premium
U34134,Male,46-60,Central,Free
U21040,Other,<18,North,Basic
U30503,Female,36-45,Central,Free
U31464,Female,26-35,Central,Premium
U37944,Female,60+,Pan-India,Premium
U18837,Male,26-35,Pan-India,Premium
U27322,Other,18-25,North,Free
U15142,Female,60+,Northeast,Basic
U29988,Other,<18,Pan-India,Premium
U15040,Other,26-35,West,Premium
U49558,Other,60+,Pan-India,Premium
U31892,Female,60+,South,Premium
U55824,Male,46-60,Pan-India,Premium
U11547,Female,36-45,Central,Free
U15266,Female,60+,Northeast,Free
U45312,Other,<18,West,Free
U36723,Other,<18,Northeast,Basic
U43661,Female,36-45,West,Premium
U48722,Male,46-60,South,Basic
U18532,Other,26-35,East,Premium
U32127,Other,18-25,South,Free
U51216,Other,60+,Northeast,Free
U52407,Other,60+,East,Premium
U35837,Other,<18,West,Free
U52324,Male,<18,Northeast,Free
U40403,Other,46-60,South,Free
U32222,Male,46-60,Pan-India,Basic
U58539,Female,60+,Pan-India,Premium
U24261,Other,<18,East,Free
U29042,Female,60+,Pan-India,Basic
U10747,Female,18-25,East,Free
U20115,Other,18-25,North,Basic
U58896,Male,60+,North,Premium
U43135,Female,18-25,West,Free
U39511,Other,26-35,Northeast,Free
U24899,Other,<18,Northeast,Basic
U40651,Other,46-60,North,Premium
U37142,Male,60+,East,Basic
U28957,Female,<18,East,Free
U34171,Male,26-35,North,Basic
U23380,Male,26-35,West,Premium
U22312,Other,60+,West,Free
U34767,Male,<18,Northeast,Basic
U38969,Male,60+,East,Premium
U10903,Female,26-35,South,Free
U24882,Female,18-25,Central,Free
U56939,Other,36-45,West,Premium
U31697,Female,60+,Pan-India,Free
U24297,Other,60+,West,Premium
U31603,Female,60+,Northeast,Basic
U55444,Female,18-25,East,Premium
U42393,Male,26-35,West,Basic
U55088,Female,26-35,East,Free
U47390,Other,<18,Northeast,Free
U38948,Other,46-60,Pan-India,Free
U27961,Male,46-60,West,Premium
U56814,Male,<18,North,Premium
U11129,Female,36-45,East,Free
U56310,Other,36-45,Central,Free
U54149,Other,18-25,North,Premium
U20309,Other,<18,Central,Premium
