session_id,user_id,channel_id,channel_name,show_name,genre,timestamp,duration_minutes,region,subscription_type,device,platform,is_live,ads_watched,ad_revenue,engagement_score,buffer_count,completion_percentage
SID652253,U56366,CH008,Zee Anmol,Show_48,Entertainment,2025-07-30 15:18:14,98,Central,Premium,Smart TV,Web,False,1,86.1,0.36,2,80.09
SID369996,U27555,CH005,Star Bharat,Show_111,Movies,2025-07-28 04:21:02,70,East,Basic,Mobile,Android,True,5,122.71,0.49,1,70.83
SID591350,U51120,CH032,Star Vijay,Show_77,Entertainment,2025-07-25 01:01:24,174,Pan-India,Basic,Smart TV,Roku,True,4,437.73,0.76,1,79.11
SID462921,U10309,CH003,Sony Entertainment Television,Show_155,Entertainment,2025-07-30 14:18:33,162,West,Basic,Smart TV,Roku,False,3,41.61,0.84,1,53.54
SID195719,U49174,CH047,DD Sahyadri,Show_90,News,2025-07-27 03:38:56,19,Pan-India,Free,Laptop,Roku,False,1,20.05,0.93,2,35.48
SID907005,U31682,CH035,KTV,Show_65,Movies,2025-07-26 20:24:32,134,Central,Premium,Mobile,FireTV,False,3,236.31,0.85,0,68.74
SID348132,U23434,CH005,Star Bharat,Show_125,Kids,2025-07-25 18:38:11,115,East,Free,Tablet,Android,True,2,99.9,0.21,0,70.67
SID663714,U24447,CH015,Star Sports Select 2,Show_15,Sports,2025-07-27 19:54:25,95,Central,Free,Smart TV,FireTV,True,2,263.73,0.8,1,45.04
SID491012,U55582,CH049,News18 Kerala,Show_63,Movies,2025-07-30 15:29:26,174,Northeast,Basic,Tablet,Web,True,1,133.67,0.99,0,50.9
SID513702,U40174,CH008,Zee Anmol,Show_30,News,2025-07-24 20:01:20,42,Central,Basic,Mobile,iOS,False,0,0.0,0.66,0,99.17
SID387530,U57422,CH010,DD National,Show_129,Sports,2025-07-31 07:59:43,27,East,Basic,Smart TV,Android,True,1,86.36,0.91,1,53.98
SID881676,U31339,CH005,Star Bharat,Show_7,News,2025-07-30 10:03:29,29,South,Premium,Smart TV,Android,False,4,639.94,0.74,2,26.64
SID193590,U59111,CH026,Times Now,Show_60,News,2025-07-30 05:04:27,44,East,Premium,Smart TV,Android,False,4,733.64,0.78,1,61.66
SID609394,U44522,CH028,NDTV India,Show_56,News,2025-07-26 16:54:08,141,West,Premium,Laptop,Web,True,2,115.3,0.66,2,25.83
SID776331,U14730,CH005,Star Bharat,Show_128,News,2025-07-30 18:28:18,71,Pan-India,Free,Smart TV,iOS,False,0,0.0,0.94,3,32.69
SID373870,U14285,CH030,India Today,Show_48,News,2025-07-30 14:43:00,151,Northeast,Free,Mobile,FireTV,False,2,74.86,0.37,0,60.87
SID965734,U15828,CH025,Republic Bharat,Show_31,News,2025-07-30 05:01:08,168,West,Basic,Mobile,Android,False,5,499.23,0.37,3,23.18
SID679747,U30537,CH046,ETV Marathi,Show_169,Movies,2025-07-29 17:03:51,10,West,Premium,Mobile,Android,True,1,158.52,0.96,0,35.79
SID361340,U25549,CH014,Star Sports Select 1,Show_56,Kids,2025-07-27 21:51:27,112,Pan-India,Premium,Smart TV,Web,True,1,78.21,0.59,3,75.31
SID606545,U19781,CH010,DD National,Show_133,Sports,2025-07-25 01:04:06,46,West,Free,Tablet,iOS,False,1,141.54,0.77,2,46.6
SID288933,U14587,CH038,ETV Telugu,Show_33,Entertainment,2025-07-26 16:54:40,141,West,Premium,Mobile,Android,True,5,925.2,0.63,2,91.64
SID108536,U45920,CH025,Republic Bharat,Show_92,News,2025-07-27 00:37:29,48,Northeast,Free,Mobile,FireTV,True,4,759.54,0.51,2,42.82
SID329943,U13714,CH025,Republic Bharat,Show_12,News,2025-07-29 09:48:45,26,Northeast,Basic,Laptop,Android,False,4,158.78,0.97,2,35.42
SID697250,U30251,CH043,Colors Kannada,Show_175,Music,2025-07-31 05:28:10,112,South,Basic,Smart TV,Roku,False,4,597.66,0.69,1,46.4
SID281141,U28321,CH012,Star Sports 2,Show_120,Entertainment,2025-07-26 11:18:12,103,South,Free,Tablet,Web,True,1,113.61,0.94,0,90.86
SID294395,U52373,CH049,News18 Kerala,Show_81,News,2025-07-27 14:57:27,167,Central,Free,Tablet,Roku,True,1,148.24,0.65,1,31.67
SID114417,U32756,CH015,Star Sports Select 2,Show_1,Entertainment,2025-07-28 23:07:37,7,North,Premium,Smart TV,Web,True,1,173.22,0.86,1,86.8
SID868069,U39102,CH038,ETV Telugu,Show_126,Entertainment,2025-07-28 13:01:17,70,Northeast,Basic,Laptop,Web,False,5,617.97,0.64,0,83.42
SID337568,U54417,CH040,Asianet,Show_167,Entertainment,2025-07-28 07:38:24,107,West,Basic,Laptop,Web,False,4,735.1,0.8,2,41.34
SID739382,U58373,CH009,Colors Rishtey,Show_49,News,2025-07-31 07:32:34,118,Northeast,Free,Tablet,FireTV,True,2,334.49,0.9,2,58.13
SID275574,U55313,CH038,ETV Telugu,Show_88,Entertainment,2025-07-31 15:26:17,64,Central,Premium,Smart TV,Web,False,5,205.04,0.46,3,69.92
SID751635,U34300,CH037,Zee Telugu,Show_103,Movies,2025-07-29 13:18:39,80,West,Premium,Laptop,Android,True,2,134.85,0.2,2,98.76
SID282783,U24874,CH041,Surya TV,Show_103,News,2025-07-28 11:33:07,92,Central,Basic,Laptop,iOS,False,0,0.0,0.52,0,35.79
SID160646,U44234,CH011,Star Sports 1,Show_127,Sports,2025-07-27 10:41:43,162,Pan-India,Basic,Smart TV,Android,False,0,0.0,0.84,0,53.34
SID841942,U20945,CH023,India TV,Show_15,Music,2025-07-31 14:18:22,56,Northeast,Premium,Tablet,Roku,True,3,283.53,0.75,3,25.26
SID780161,U55898,CH044,Zee Marathi,Show_17,News,2025-07-26 23:09:33,23,Pan-India,Basic,Mobile,FireTV,False,3,244.23,0.46,1,32.0
SID166521,U10051,CH050,News18 Tamil Nadu,Show_62,Entertainment,2025-07-26 09:12:36,30,West,Free,Tablet,FireTV,True,0,0.0,1.0,3,34.64
SID806833,U47511,CH017,Sony Sports Ten 2,Show_129,Music,2025-07-30 22:14:34,136,North,Premium,Tablet,Roku,True,2,340.58,0.94,1,83.99
SID559035,U36524,CH041,Surya TV,Show_158,Music,2025-07-26 12:18:08,123,Pan-India,Basic,Smart TV,Roku,False,1,83.77,0.5,0,35.6
SID726791,U55233,CH036,Star Maa,Show_12,Sports,2025-07-29 17:15:58,143,Central,Basic,Mobile,Roku,True,4,502.72,0.89,2,28.65
SID798521,U16851,CH036,Star Maa,Show_118,Movies,2025-07-29 11:57:24,2,Pan-India,Free,Tablet,Web,True,2,29.2,0.68,3,84.43
SID244401,U10874,CH038,ETV Telugu,Show_146,Entertainment,2025-07-30 22:34:44,5,Northeast,Premium,Smart TV,Android,False,3,262.55,0.74,0,88.03
SID452734,U55360,CH046,ETV Marathi,Show_74,News,2025-07-30 05:26:34,116,Pan-India,Basic,Mobile,Android,False,3,68.72,0.21,0,93.13
SID128880,U10087,CH022,ABP News,Show_5,News,2025-07-25 01:19:45,6,Central,Premium,Laptop,iOS,True,1,124.65,0.96,1,96.71
SID719889,U56352,CH013,Star Sports 3,Show_80,Music,2025-07-26 12:05:09,152,West,Premium,Tablet,Web,True,2,157.84,0.87,2,34.5
SID311880,U29286,CH008,Zee Anmol,Show_150,Kids,2025-07-25 00:50:14,43,North,Premium,Laptop,iOS,False,0,0.0,0.74,1,85.02
SID377595,U41186,CH042,Zee Kannada,Show_101,Movies,2025-07-30 00:15:21,83,Central,Premium,Smart TV,Roku,False,2,158.03,0.21,0,65.8
SID595859,U37603,CH042,Zee Kannada,Show_192,Music,2025-07-30 07:11:55,47,South,Premium,Laptop,iOS,True,5,585.63,0.29,1,54.09
SID614508,U13216,CH037,Zee Telugu,Show_81,Movies,2025-07-29 22:45:52,108,East,Free,Mobile,Roku,True,5,895.92,0.77,0,22.74
SID391500,U38895,CH004,Zee TV,Show_109,Entertainment,2025-07-25 08:46:56,87,North,Free,Smart TV,FireTV,True,2,378.07,0.21,1,42.49
SID794860,U59561,CH007,Dangal TV,Show_198,Kids,2025-07-27 11:34:20,85,Pan-India,Premium,Smart TV,iOS,True,0,0.0,1.0,3,81.19
SID345014,U56412,CH017,Sony Sports Ten 2,Show_95,Kids,2025-07-31 13:15:42,65,North,Free,Mobile,Android,False,3,453.3,0.45,1,71.46
SID927778,U44818,CH027,CNN-News18,Show_81,News,2025-07-25 00:23:36,101,Pan-India,Free,Tablet,Android,True,1,145.18,0.37,3,54.97
SID420344,U37855,CH010,DD National,Show_77,Movies,2025-07-28 11:57:10,105,Northeast,Premium,Smart TV,Roku,True,1,11.97,0.3,2,29.86
SID932151,U36676,CH026,Times Now,Show_96,News,2025-07-29 07:21:00,3,Pan-India,Free,Smart TV,iOS,False,2,203.29,0.43,3,66.21
SID370038,U58689,CH018,Sony Sports Ten 3,Show_111,Movies,2025-07-27 07:25:17,77,South,Premium,Tablet,iOS,True,1,187.0,0.42,1,64.01
SID863393,U37341,CH009,Colors Rishtey,Show_192,News,2025-07-28 23:51:17,4,Pan-India,Premium,Tablet,iOS,True,0,0.0,0.44,3,46.97
